ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share
3,Foreign Born,0,Under 5 Years,2014,2014,975,499,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.000962926
3,Foreign Born,8,62 to 64 Years,2014,2014,3340,698,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.003298638
3,Foreign Born,9,65 to 74 Years,2014,2014,7546,1063,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.007452552
3,Foreign Born,1,5 to 17 Years,2014,2014,9687,1765,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.009567039
3,Foreign Born,10,75 Years & Over,2014,2014,3838,1033,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.003790471
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",9,25 to 34 Years,6042,2014,131374,8431,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.129747101
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,Under 5 Years,6042,2014,69745,4304,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.068881297
3,"Born In Other State In The United States,Native; Born Outside The United States,Born In State of Residence",30,75 Years & Over,6042,2014,36163,3579,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.035715168
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",24,62 to 64 Years,6042,2014,22439,3187,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.022161122
3,"Born In Other State In The United States,Native; Born Outside The United States,Born In State of Residence",3,5 to 17 Years,6042,2014,168302,9248,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.166217795
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",15,45 to 54 Years,6042,2014,115699,5648,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.114266216
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",12,35 to 44 Years,6042,2014,117670,6335,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.116212808
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",27,65 to 74 Years,6042,2014,54007,3617,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.053338192
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",6,18 to 24 Years,6042,2014,82318,6535,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.081298597
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",21,60 & 61 Years,6042,2014,18111,3092,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.017886718
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",18,55 to 59 Years,6042,2014,52461,4711,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.051811338
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",6,18 to 24 Years,6039,2013,80420,6167,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.081152237
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",21,60 & 61 Years,6039,2013,19047,2861,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.019220426
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",27,65 to 74 Years,6039,2013,50473,3719,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.050932565
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",12,35 to 44 Years,6039,2013,117460,7206,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.118529492
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",18,55 to 59 Years,6039,2013,49544,4357,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.049995106
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",30,75 Years & Over,6039,2013,35096,3060,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.035415555
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",15,45 to 54 Years,6039,2013,110315,7623,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.111319435
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",24,62 to 64 Years,6039,2013,21154,2865,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.02134661
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",3,5 to 17 Years,6039,2013,163205,8538,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.164691007
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",0,Under 5 Years,6039,2013,69278,4260,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.069908787
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",9,25 to 34 Years,6039,2013,128576,8874,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.129746705
3,Foreign Born,4,35 to 44 Years,2013,2013,35580,2242,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.035903961
3,Foreign Born,5,45 to 54 Years,2013,2013,25220,1811,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.025449632
3,Foreign Born,6,55 to 59 Years,2013,2013,7078,1075,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.007142446
3,Foreign Born,0,Under 5 Years,2013,2013,1098,548,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.001107997
3,Foreign Born,7,60 & 61 Years,2013,2013,2734,956,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.002758893
3,Foreign Born,1,5 to 17 Years,2013,2013,11940,2326,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.012048716
3,Foreign Born,8,62 to 64 Years,2013,2013,3590,963,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.003622688
3,Foreign Born,2,18 to 24 Years,2013,2013,13796,2172,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.013921615
3,Foreign Born,9,65 to 74 Years,2013,2013,6927,1000,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.006990071
3,Foreign Born,10,75 Years & Over,2013,2013,3756,871,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.003790199
3,Foreign Born,3,25 to 34 Years,2013,2013,34690,2922,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Foreign Born,0.035005858
